pair_string,count
"B005NVU64Q,B005VOOM2W",2
"B0013A0QXC,B00395DVWM",2
"B000EQT77M,B0017U7TFG",2
"B000ICPV4K,B000O393QK",2
"B004IRCHQG,B006N3I29E",2
"B000LKXNG2,B001EO5U3I",2
"B0039LVLS2,B006N3IE6A",2
"B000UYIPYY,B0026KNQSA",2
"B000FNH1C2,B0013LYLHS",2
"B001LGGH40,B004X8T8DK",2
"B004OV6X6Q,B005GIF5WY",2
"B001BDDTB2,B002ZJQQK2",2
"B001EO5ZHO,B002QTWU4W",2
"B0032IGJ8E,B003M9ZLEG",2
"B002GXDEZM,B003GS5FMQ",2
"B000EVG8J2,B000H7GSDY",2
"B000H7MHIO,B002N7DSNE",2
"B000HDK0DC,B002AQP5MK",2
"B000CQID1K,B001EQ55ZO",2
"B000CQE3HS,B007RTR9G0",2
"B000EM9E2Y,B001SIY3O2",2
"B000MJJE8I,B000MJKGFI",2
"B000FA38ZY,B007RTR8AM",2
"B006BXV176,B007RTR8UC",2
"B000EDG3UE,B001TLY7BM",2
"B001BORBM4,B002R8J7YS",2
"B0007A0AQW,B0059SE95A",2
"B002133Z56,B003TNANSO",2
"B001Q9EFVY,B0026KNQSA",2
"B00164X9SE,B002LV6M0S",2
"B001BOTB72,B001CUUPD4",2
"B000WFNLP4,B0018CIPI8",2
"B000FPJ4MU,B000MXJR5Y",2
"B000F3YEWM,B000NMJWZO",2
"B002TMV3GC,B005OVPK9G",2
"B0040K41MY,B008BLFCK8",2
"B002LANN56,B0096EZHM2",2
"B002LANN56,B005DM1Z3Q",2
"B0029NILPW,B0029NIW60",2
"B0029NILPW,B004LLAYA0",2
"B001RVFEP2,B004YGQPAK",2
"B000Q75336,B0030VJ8YU",2
"B000EVOSE4,B006WLNUWG",2
"B002AU4V94,B004391DK0",2
"B001CPSK0E,B001J8H1E0",2
"B001EPPE1K,B003D4IYSU",2
"B000NMJWZO,B003D4MW38",2
"B001P235M2,B003D4MYLS",2
"B001EO6654,B003VXHGPK",2
"B003E728CE,B003LPMC3O",2
"B005D4NCXU,B005K4Q34S",2
"B003JA5KBW,B005BPVB84",2
"B007TGO1U8,B008O3G2GG",2
"B0012V1G0Y,B0018CJYNS",2
"B002TSA91Q,B004R8J8E0",2
"B000FI701Y,B001LG940E",2
"B000EQYSLC,B000YSTIL0",2
"B001BCVY4W,B001EPPBE0",2
"B000V17MLS,B008JKSJJ2",2
"B0007A0AQW,B00579IRZE",2
"B000H0ZJHW,B00579IRZE",2
"B001H0FI22,B005IW4WFY",2
"B005HG9ERW,B007TGDXMK",2
"B0036QHQ5C,B006K3XM6K",2
"B000O9GAPG,B0036QHQ5C",2
"B000XJOJPK,B004SRH2B6",2
"B004SRH2B6,B007SD4A1W",2
"B0037UW0WQ,B005FIYHBA",2
"B000SRJSOO,B0037UW0WQ",2
"B002CTAVK6,B003CIBPN8",2
"B001O4EKJI,B0067EW8LM",2
"B000LD56WI,B0037UW0WQ",2
"B001O4EKJI,B00453M7RM",2
"B0018AHMCA,B003CIBPN8",2
"B003CIBPN8,B003UUDUOA",2
"B002D03DZO,B0037UW0WQ",2
"B000LKZ3OM,B001BM4NAE",2
"B000FMZO8G,B002GJ9JWS",2
"B0001ES9F8,B001M074LA",2
"B004FEJ968,B005QRPHSW",2
"B0030VBRCG,B003CFX9JY",2
"B000UBD88A,B007POT6RM",2
"B001OCKIBY,B004DOXI9O",2
"B003BJZMSM,B003VXFK44",2
"B0036FFJ98,B005OVPK9G",2
"B000ENUC3S,B001E5E0Y2",2
"B002EX76V2,B0078Y6OX8",2
"B000HDK0DC,B000Q5X876",2
"B0049ULB78,B004PZOSS6",2
"B0034EDLS2,B003VXHGPK",2
"B001EQ55ZO,B0076YVPLG",2
"B002ZJSS8A,B0061IUIDY",2
"B001397WV2,B001CU0N4A",2
"B000EDG3UE,B001TM70XS",2
"B000GW46DE,B001VJ0B0I",2
"B001EO67IK,B005HG9ESG",2
"B003G1ZRTY,B004YV80OE",2
"B0002NYNYY,B00447J1B4",2
"B000FBQ594,B004G970YA",2
"B000G32YEG,B003NUYBV8",2
"B001CUUPD4,B002CYLV5U",2
"B001942GAI,B003GTR8IO",2
"B001XUO9EE,B006OC2BGY",2
